Title,Detailed Job URL,Job Details,Job Requirements
"[Song Than - Binh Duong] Chuyên viên Thẩm định Tín dụng Cá nhân - Retail Loan
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/song-than-binh-duong-chuyen-vien-tham-dinh-tin-dung-ca-nhan-retail-loan.35BDE41B.html,[],[]
"Sales Engineer (electrical equipment, fitting)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-engineer-electrical-equipment-fitting.35BDE41A.html,"['Seeking customers who wish to use steam, installing, selling electrical equipment, fitting', 'Make quotes, contracts on technical services.', 'Track project installation progress, technical support for Technical Department.', 'Project monitoring, monthly output monthly volume with partner.', 'Assist the Project Board, Technical Panel.', 'A bridge between customers and the Company.', 'Recovery of debts from customers.', 'Participate in fairs in Vietnam and abroad.']","['2 year experience or more.', 'English proficiency 4 skills.', 'University degree in\xa0Electrical', 'Proficiency in office computer.', 'Ability to travel local and\xa0abroad.', 'Priority in work experience in the field of management and implementation of projects related to electrical equipment, production, oil, gas, renewable energy,\xa0mechanical equipment, environment.', 'Ages: 25-39']"
"[Binh Duong] Chuyên viên Thẩm định Khách hàng Doanh nghiệp - Corporate Loan
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/binh-duong-chuyen-vien-tham-dinh-khach-hang-doanh-nghiep-corporate-loan.35BDE419.html,"['Check all the credit information and thoroughly analyze the financial statements and other supporting data.', 'Review the credit files to make sure that they proper credit information, including financial statements, source of repayments, collateral, the market value and the valuation method, evaluation and depreciation method, etc.', 'Review the note and disbursement instructions prior to funding the loan.', 'Manage all assigned loans which entails: review all financial statements, obtaining the documents as dictated by the Loan Policy and the loan agreement, visit the borrower’s place of business, review all correspondence received from the borrower.', 'Be alert to other information sources which may provide information that suggest either potential problems or opportunities for additional business.', 'Diligently attempt to collect all past due loans.', 'Immediately report to the GM, Credit Planning Department all loans that appear to have deteriorated sufficiently to be included on the early warning list.', 'Other assignments by GM (General Manager) / DGM (Deputy General Manager)']","['Bachelor of Economics or relevant field', 'At least 2 years of experience in credit/loan and trade finance', 'Strong legal sense', 'Intensive understanding of banking products especially loan and trade finance', 'Good knowledge on bank Risk management and Asset liability management', 'English fluently in writing, speaking communication', 'Want to work with others who will make you and the team better', 'Must be familiar with basic security concepts or standards as appropriate for this position']"
"Sales Engineer (Engineering Solution, EPC contractor)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-engineer-engineering-solution-epc-contractor.35BDE417.html,"['As Engineering Sales level', 'Closely work with project team', 'Approach Owners, factories, Industrial Park to gain the projects information', 'Building solid relationships with customers, vendors and distributors, as well as sales and marketing teams, technical team for the Engineering Solution, EPC contractor.', 'Developing in-depth knowledge of company offerings to identify profitable business opportunities.', 'Directing marketing efforts by presenting market research to marketing directors and suggesting strategies to expand market research.', 'Assessing marketing and sales as well as supplier and vendor operations and recommending improvements as needed.', 'Preparing all documentation required for requests for proposals (RFPs).', 'Researching emerging trends and recommending new company offerings to satisfy customers’ needs.', 'Developing and managing strategic partnerships to grow business.', 'Presenting business or marketing opportunities to company executives and management.', 'Selecting automation software and software platforms that best meet company needs.']","['At Least 3\xa0years experience in the field of\xa0Engineering Solution, EPC contractor', ""Experience Bachelor's degree in technical, electrical, mechanical, automation"", 'Proven business development, sales, or marketing experience.', 'Proficient in all Microsoft Office applications.', 'Excellent analytical, problem-solving, and decision-making skills.', 'Exceptional leadership and management skills.', 'Effective communication and negotiation skills.', 'Strong business acumen.', 'Detail-oriented and persuasive.']"
"[Bien Hoa, Dong Nai] Chuyên viên Thẩm định Khách hàng Doanh nghiệp - Corporate Loan
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/bien-hoa-dong-nai-chuyen-vien-tham-dinh-khach-hang-doanh-nghiep-corporate-loan.35BDE418.html,"['Check all the credit information and thoroughly analyze the financial statements and other supporting data.', 'Review the credit files to make sure that they proper credit information, including financial statements, source of repayments, collateral, the market value and the valuation method, evaluation and depreciation method, etc.', 'Review the note and disbursement instructions prior to funding the loan.', 'Manage all assigned loans which entails: review all financial statements, obtaining the documents as dictated by the Loan Policy and the loan agreement, visit the borrower’s place of business, review all correspondence received from the borrower.', 'Be alert to other information sources which may provide information that suggest either potential problems or opportunities for additional business.', 'Diligently attempt to collect all past due loans.', 'Immediately report to the GM, Credit Planning Department all loans that appear to have deteriorated sufficiently to be included on the early warning list.', 'Other assignments by GM (General Manager) / DGM (Deputy General Manager)']","['Bachelor of Economics or relevant field', 'At least 2 years of experience in credit/loan and trade finance', 'Strong legal sense', 'Intensive understanding of banking products especially loan and trade finance', 'Good knowledge on bank Risk management and Asset liability management', 'English fluently in writing, speaking communication', 'Want to work with others who will make you and the team better', 'Must be familiar with basic security concepts or standards as appropriate for this position']"
"Sales Manager (Engineering Solution, EPC contractor)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-manager-engineering-solution-epc-contractor.35BDE416.html,"['Approach Owners, factories, Industrial Park to gain the projects information', 'Building solid relationships with customers, vendors and distributors, as well as sales and marketing teams, technical team for the Engineering Solution, EPC contractor.', 'Developing in-depth knowledge of company offerings to identify profitable business opportunities.', 'Directing marketing efforts by presenting market research to marketing directors and suggesting strategies to expand market research.', 'Assessing marketing and sales as well as supplier and vendor operations and recommending improvements as needed.', 'Preparing all documentation required for requests for proposals (RFPs).', 'Researching emerging trends and recommending new company offerings to satisfy customers’ needs.', 'Developing and managing strategic partnerships to grow business.', 'Presenting business or marketing opportunities to company executives and management.', 'Selecting automation software and software platforms that best meet company needs.']","['At Least 5 years experience in the field of\xa0Engineering Solution, EPC contractor', ""Experience Bachelor's degree in technical, electrical, mechanical, automation"", 'Proven business development, sales, or marketing experience.', 'Proficient in all Microsoft Office applications.', 'Excellent analytical, problem-solving, and decision-making skills.', 'Exceptional leadership and management skills.', 'Effective communication and negotiation skills.', 'Strong business acumen.', 'Detail-oriented and persuasive.']"
"Electrical Project Manager (solar rooftop)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/electrical-project-manager-solar-rooftop.35BDE415.html,[],[]
"Manager, CSR Compliance (garment, footwear, sporting goods)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/manager-csr-compliance-garment-footwear-sporting-goods.35BDE414.html,"['Better protection of human rights, including labour rights.', 'Healthier environment for present and future generations.', 'Increased trust in businesses.', 'More transparency enabling informed choices.', 'Better access to justice for victims.', 'Harmonised legal framework in the Vietnam and Asia, creating legal certainty and level playing field.', 'Greater customer trust and employees’ commitment.', 'Better awareness of companies’ negative environmental and human rights impacts.', 'Better risk management and adaptability.', 'Increased attractiveness for talent, sustainability-oriented investors and public procurers.', 'Higher attention to innovation.', 'Better access to finance.', 'Better protection of human rights and the environment.', 'Increased stakeholder awareness on key sustainability issues.', 'Sustainable investment.', 'Improved sustainability-related practices.', 'Increased take-up of international standards.', 'Improved living conditions for people.']","['Aspiring CSR directors will benefit from developing a variety of core skills and competencies.', 'Analytical thinking:\xa0Individuals working in this field may receive numerous external requests for partnerships and charitable contributions. They must not only understand how to budget and allocate resources but also be able to determine which partnerships will help further their companies’ goals.', 'Leadership:\xa0Professionals who pursue this career path develop and implement an organization’s CSR initiatives. As such, they must know how to inspire staff and foster community enthusiasm about the company’s social responsibility goals.', 'Written and verbal communication:\xa0CSR directors communicate with a variety of stakeholders, including staff, management, and external partners. Individuals with strong communication skills will be equipped to relay messages effectively.', 'Organization:\xa0Professionals in this field must be adept at multitasking, as they often work on several projects at once. Individuals with strong organizational skills are likely to enjoy the greatest levels of success.']"
"[Dong Nai] Giao Dịch Viên - Teller
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/dong-nai-giao-dich-vien-teller.35BDE413.html,[],[]
"URGENT - Management Trainee (Finance, ACCA, CFA 2, CPA)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/urgent-management-trainee-finance-acca-cfa-2-cpa.35BDE412.html,[],[]
