sentence_id,word,pos
0,Tốt nghiệp,V
0,Đại học,N
0,trở,V
0,lên,V
0,chuyên ngành,N
0,về,E
0,Ngân hàng,N
0,",",CH
0,Tài chính,N
0,",",CH
0,Kinh tế,N
0,",",CH
0,Luật,Np
0,hoặc,C
0,chuyên ngành,N
0,có,R
0,liên quan,V
0,công tác,N
0,xử lý,V
0,nợ,N
0,.,CH
1,BAC,Np
1,A BANK,Np
1,chỉ,R
1,thu,V
1,hồ sơ,N
1,qua,V
1,email,FW
1,không,R
1,thu,V
1,hồ sơ,N
1,bản,N
1,cứng,A
2,Các,L
2,chế độ,N
2,phúc lợi,V
2,xã hội,N
2,theo,V
2,quy định,N
2,pháp luật,N
2,như,C
2,:,CH
2,BHYT,Np
2,",",CH
2,BHXH,Np
2,",",CH
2,BHTN.,Np
2,...,CH
3,Trình độ,N
3,:,CH
3,Đại Học,Np
4,Chế độ,N
4,du lịch,V
4,nghỉ mát,V
4,hàng,N
4,năm,N
4,",",CH
4,tổ chức,V
4,teambuilding,V
4,sôi nổi,A
4,.,CH
5,Có,V
5,khả năng,N
5,lập,V
5,kế hoạch,N
5,",",CH
5,chiến lược,N
5,và,C
5,điều phối,V
5,thực hiện,V
5,kế hoạch,N
5,hiệu quả,M
6,Hiểu biết,N
6,cơ bản,A
6,về,E
6,Marketing,Np
6,là,V
6,một,M
6,lợi thế,N
6,;,CH
7,Thời hạn,N
7,nhận,V
7,hồ sơ,N
7,:,CH
8,Các,L
8,chế độ,N
8,phúc lợi,V
8,theo,V
8,quy định,N
8,luật,N
8,lao động,N
8,và,C
8,theo,V
8,quy chế,N
8,của,E
8,Công ty,N
8,.,CH
9,1,M
9,.,CH
9,CN,Ny
9,Huế,Np
9,:,CH
9,Tầng,N
9,11,M
9,",",CH
9,Tòa,Np
9,nhà HCC,V
9,",",CH
9,28,M
9,Lý Thường Kiệt,Np
9,",",CH
9,P.,Ny
9,Vĩnh Ninh,Np
9,",",CH
9,TP.,Ny
9,Huế,Np
9,.,CH
10,·,N
10,Năng lực,N
10,đối ngoại,V
10,và,C
10,tương tác,V
10,tốt,A
10,.,CH
11,Tố chất,N
11,:,CH
11,Độc lập,N
11,",",CH
11,chính trực,N
11,",",CH
11,khách quan,A
11,",",CH
11,bảo mật,V
11,",",CH
11,tuân thủ,V
11,",",CH
11,thận trọng,N
11,.,CH
12,Chế độ,N
12,đãi ngộ,V
12,:,CH
13,Deep,Np
13,understanding,V
13,of the,N
13,effective,V
13,management,N
13,model,V
13,for,N
13,customers of Business,N
13,Banking Division,Np
13,.,CH
14,Có,V
14,tối thiểu,N
14,8,M
14,năm,N
14,kinh nghiệm,N
14,trong,E
14,lĩnh vực,N
14,Kiểm toán,N
14,",",CH
14,thanh tra,V
15,Ưu tiên,N
15,ứng viên,V
15,có,V
15,hiểu biết,N
15,về,E
15,ngành,N
15,lưu huỳnh,N
15,",",CH
15,phân bón,N
15,nói chung,X
15,hoặc,C
15,liên quan,V
15,.,CH
16,Hướng,N
16,tới,V
16,kết quả,N
16,:,CH
16,tập trung,V
16,vào,E
16,các,L
16,biện pháp,N
16,cụ thể,A
16,và,C
16,mục tiêu,N
16,để,E
16,có,V
16,kết quả,N
16,cao,A
16,nhất,A
17,3,M
17,.,CH
17,Văn hóa,V
17,doanh nghiệp,N
17,phong phú,A
17,:,CH
18,Kỹ năng lập,N
18,và,C
18,thực hiện,V
18,kế hoạch,N
18,",",CH
18,quản lý,V
18,áp lực,N
18,công việc,N
18,;,CH
19,Hồ sơ,N
19,dự tuyển,N
19,gồm,V
20,Thông thạo,N
20,tiếng,N
20,Anh,Np
20,lợi thế,V
20,cạnh tranh,V
21,3,M
21,.,CH
21,Ngoại ngữ,N
21,:,CH
22,1,M
22,.,CH
22,Tốt nghiệp,V
22,CĐ,Np
22,/,CH
22,ĐH,Ny
22,chuyên ngành,N
22,Quản trị,V
22,nguồn,N
22,nhân lực,N
22,",",CH
22,Nhân sự,N
22,",",CH
22,Con người,N
22,",",CH
22,và,C
22,các,L
22,ngành,N
22,liên quan,V
22,khác,A
22,.,CH
23,Tốt nghiệp,V
23,đại học,N
23,và,C
23,chuyên ngành,N
23,quản trị,V
23,/,CH
23,kinh tế,N
