sentence_id,word,pos,tag
0,Tốt nghiệp,V,O
0,Đại học,N,O
0,trở,V,O
0,lên,V,O
0,chuyên ngành,N,B-Skill
0,về,E,I-Skill
0,Ngân hàng,N,I-Skill
0,",",CH,I-Skill
0,Tài chính,N,I-Skill
0,",",CH,I-Skill
0,Kinh tế,N,I-Skill
0,",",CH,I-Skill
0,Luật,Np,I-Skill
0,hoặc,C,O
0,chuyên ngành,N,O
0,có,R,O
0,liên quan,V,O
0,công tác,N,B-Skill
0,xử lý,V,I-Skill
0,nợ,N,I-Skill
0,.,CH,O
1,BAC,Np,O
1,A BANK,Np,O
1,chỉ,R,O
1,thu,V,O
1,hồ sơ,N,O
1,qua,V,O
1,email,FW,O
1,không,R,O
1,thu,V,O
1,hồ sơ,N,O
1,bản,N,O
1,cứng,A,O
2,Các,L,O
2,chế độ,N,O
2,phúc lợi,V,O
2,xã hội,N,O
2,theo,V,O
2,quy định,N,O
2,pháp luật,N,O
2,như,C,O
2,:,CH,O
2,BHYT,Np,O
2,",",CH,O
2,BHXH,Np,O
2,",",CH,O
2,BHTN.,Np,O
2,...,CH,O
3,Trình độ,N,O
3,:,CH,O
3,Đại Học,Np,O
4,Chế độ,N,O
4,du lịch,V,O
4,nghỉ mát,V,O
4,hàng,N,O
4,năm,N,O
4,",",CH,O
4,tổ chức,V,O
4,teambuilding,V,O
4,sôi nổi,A,O
4,.,CH,O
5,Có,V,O
5,khả năng,N,B-Skill
5,lập,V,I-Skill
5,kế hoạch,N,I-Skill
5,",",CH,I-Skill
5,chiến lược,N,I-Skill
5,và,C,I-Skill
5,điều phối,V,I-Skill
5,thực hiện,V,I-Skill
5,kế hoạch,N,I-Skill
5,hiệu quả,M,O
6,Hiểu biết,N,O
6,cơ bản,A,B-Skill
6,về,E,I-Skill
6,Marketing,Np,I-Skill
6,là,V,O
6,một,M,O
6,lợi thế,N,O
6,;,CH,O
7,Thời hạn,N,O
7,nhận,V,O
7,hồ sơ,N,O
7,:,CH,O
8,Các,L,O
8,chế độ,N,O
8,phúc lợi,V,O
8,theo,V,O
8,quy định,N,O
8,luật,N,O
8,lao động,N,O
8,và,C,O
8,theo,V,O
8,quy chế,N,O
8,của,E,O
8,Công ty,N,O
8,.,CH,O
9,1,M,O
9,.,CH,O
9,CN,Ny,O
9,Huế,Np,O
9,:,CH,O
9,Tầng,N,O
9,11,M,O
9,",",CH,O
9,Tòa,Np,O
9,nhà HCC,V,O
9,",",CH,O
9,28,M,O
9,Lý Thường Kiệt,Np,O
9,",",CH,O
9,P.,Ny,O
9,Vĩnh Ninh,Np,O
9,",",CH,O
9,TP.,Ny,O
9,Huế,Np,O
9,.,CH,O
10,·,N,O
10,Năng lực,N,B-Skill
10,đối ngoại,V,I-Skill
10,và,C,I-Skill
10,tương tác,V,I-Skill
10,tốt,A,O
10,.,CH,O
11,Tố chất,N,B-Skill
11,:,CH,I-Skill
11,Độc lập,N,I-Skill
11,",",CH,I-Skill
11,chính trực,N,I-Skill
11,",",CH,I-Skill
11,khách quan,A,I-Skill
11,",",CH,I-Skill
11,bảo mật,V,I-Skill
11,",",CH,I-Skill
11,tuân thủ,V,I-Skill
11,",",CH,I-Skill
11,thận trọng,N,I-Skill
11,.,CH,O
12,Chế độ,N,O
12,đãi ngộ,V,O
12,:,CH,O
14,Có,V,O
14,tối thiểu,N,O
14,8,M,O
14,năm,N,O
14,kinh nghiệm,N,B-Skill
14,trong,E,I-Skill
14,lĩnh vực,N,I-Skill
14,Kiểm toán,N,I-Skill
14,",",CH,I-Skill
14,thanh tra,V,I-Skill
15,Ưu tiên,N,O
15,ứng viên,V,O
15,có,V,O
15,hiểu biết,N,B-Skill
15,về,E,I-Skill
15,ngành,N,I-Skill
15,lưu huỳnh,N,I-Skill
15,",",CH,I-Skill
15,phân bón,N,I-Skill
15,nói chung,X,O
15,hoặc,C,O
15,liên quan,V,O
15,.,CH,O
16,Hướng,N,B-Skill
16,tới,V,I-Skill
16,kết quả,N,I-Skill
16,:,CH,O
16,tập trung,V,B-Skill
16,vào,E,I-Skill
16,các,L,I-Skill
16,biện pháp,N,I-Skill
16,cụ thể,A,I-Skill
16,và,C,I-Skill
16,mục tiêu,N,I-Skill
16,để,E,O
16,có,V,O
16,kết quả,N,O
16,cao,A,O
16,nhất,A,O
17,3,M,O
17,.,CH,O
17,Văn hóa,V,O
17,doanh nghiệp,N,O
17,phong phú,A,O
17,:,CH,O
18,Kỹ năng lập,N,B-Skill
18,và,C,I-Skill
18,thực hiện,V,I-Skill
18,kế hoạch,N,I-Skill
18,",",CH,O
18,quản lý,V,B-Skill
18,áp lực,N,I-Skill
18,công việc,N,I-Skill
18,;,CH,O
19,Hồ sơ,N,O
19,dự tuyển,N,O
19,gồm,V,O
20,Thông thạo,N,B-Skill
20,tiếng,N,I-Skill
20,Anh,Np,I-Skill
20,lợi thế,V,O
20,cạnh tranh,V,O
21,3,M,O
21,.,CH,O
21,Ngoại ngữ,N,O
21,:,CH,O
22,1,M,O
22,.,CH,O
22,Tốt nghiệp,V,O
22,CĐ,Np,O
22,/,CH,O
22,ĐH,Ny,O
22,chuyên ngành,N,B-Skill
22,Quản trị,V,I-Skill
22,nguồn,N,I-Skill
22,nhân lực,N,I-Skill
22,",",CH,I-Skill
22,Nhân sự,N,I-Skill
22,",",CH,I-Skill
22,Con người,N,I-Skill
22,",",CH,O
22,và,C,O
22,các,L,O
22,ngành,N,O
22,liên quan,V,O
22,khác,A,O
22,.,CH,O
23,Tốt nghiệp,V,O
23,đại học,N,O
23,và,C,O
23,chuyên ngành,N,B-Skill
23,quản trị,V,I-Skill
23,/,CH,I-Skill
23,kinh tế,N,I-Skill
24,Linh hoạt,N,B-Skill
24,và,C,O
24,nhanh nhạy,A,B-Skill
24,trong,E,O
24,mọi,L,O
24,tình huống,N,O
25,Các,L,O
25,phẩm chất,N,O
25,cá nhân,N,O
25,cần,V,O
25,có,V,O
25,:,CH,O
26,Có,V,O
26,kỹ năng,N,B-Skill
26,giao tiếp,V,I-Skill
26,tốt,A,I-Skill
26,;,CH,O
27,Kỹ năng,N,B-Skill
27,giao tiếp,V,I-Skill
27,và,C,I-Skill
27,đàm phán,V,I-Skill
27,tốt,A,I-Skill
28,Trách nhiệm,N,B-Skill
28,",",CH,O
28,nhiệt huyết,N,B-Skill
28,",",CH,O
28,chủ động,N,B-Skill
28,",",CH,O
28,chịu,V,B-Skill
28,áp lực,N,I-Skill
28,cao,A,I-Skill
