sentence_id,word,pos,tag
0,Nam,Np,O
0,",",CH,O
0,tuổi,N,O
0,từ,E,O
0,24-32,M,O
1,Tốt nghiệp,V,O
1,ĐH,Ny,O
1,chuyên ngành,N,B-Skill
1,:,CH,I-Skill
1,Môi trường,N,I-Skill
1,",",CH,I-Skill
1,An Toàn Lao Động,Np,I-Skill
1,",",CH,O
1,...,CH,O
2,Am,Np,B-Skill
2,hiểu,V,I-Skill
2,về,E,I-Skill
2,luật PCCC,N,I-Skill
2,và,C,I-Skill
2,ATLĐ,Np,I-Skill
2,(,CH,O
2,Đã,R,O
2,qua,V,B-Skill
2,lớp,N,I-Skill
2,tập huấn,N,I-Skill
2,),CH,O
3,Có,V,O
3,kinh nghiệm,N,B-Skill
3,làm việc,V,I-Skill
3,về,E,I-Skill
3,ATLĐ,Np,I-Skill
3,và,C,I-Skill
3,xử lý,V,I-Skill
3,các,L,I-Skill
3,vấn đề,N,I-Skill
3,liên quan,V,I-Skill
3,đến,E,I-Skill
3,môi trường,N,I-Skill
3,",",CH,I-Skill
3,nước thải,N,I-Skill
3,sản xuất,V,I-Skill
4,Có,V,O
4,kinh nghiệm,N,B-Skill
4,xử lý,V,I-Skill
4,hồ sơ,N,I-Skill
4,cùng,A,I-Skill
4,cơ quan,N,I-Skill
4,Nhà nước,N,I-Skill
5,Có thể,R,O
5,đi,V,O
5,công tác,V,O
5,thường xuyên,A,O
6,Kinh nghiệm,N,O
6,2,N,O
6,năm,N,O
6,vị trí,N,O
6,tương đương,A,O
6,trong,E,O
6,môi trường,N,O
6,nhà máy,N,O
6,.,CH,O
7,Ưu tiên,N,O
7,ứng viên,V,O
7,có,V,O
7,HKTT,Np,O
7,tại,E,O
7,Xuân Lộc,Np,O
7,",",CH,O
7,Cẩm Mỹ,Np,O
7,hoặc,C,O
7,có thể,R,O
7,ở,V,O
7,trọ,V,O
7,tại,E,O
7,địa phương,N,O
7,để,E,O
7,làm việc,V,O
7,lâu dài,A,O
7,.,CH,O
8,Kiến thức,N,B-Skill
8,về,V,I-Skill
8,quản trị,V,I-Skill
8,dữ liệu,N,I-Skill
9,Kiến thức,N,B-Skill
9,về,E,I-Skill
9,mô hình,N,I-Skill
9,hóa,N,I-Skill
9,dữ liệu,M,I-Skill
10,Tiếng,N,B-Skill
10,anh,Nc,I-Skill
10,:,CH,O
10,\,V,O
10,xa0đọc,N,B-Skill
10,hiểu,V,I-Skill
10,tài liệu,N,I-Skill
10,",",CH,O
10,kỹ năng,N,B-Skill
10,giao tiếp,V,I-Skill
10,cơ bản,A,B-Skill
11,Sử dụng,V,B-Skill
11,thành thạo,N,I-Skill
11,Excel,Np,I-Skill
11,",",CH,I-Skill
11,Power query,N,I-Skill
11,Excel,Np,I-Skill
11,",",CH,I-Skill
11,DAX,Np,I-Skill
12,Sử dụng,V,B-Skill
12,thành thạo,N,I-Skill
12,1,M,I-Skill
12,trong,E,I-Skill
12,các,L,I-Skill
12,công cụ,N,I-Skill
12,trực quan,V,I-Skill
12,hóa,N,I-Skill
12,dữ liệu,N,I-Skill
12,(,CH,I-Skill
12,Power BI,Np,I-Skill
12,",",CH,I-Skill
12,Google,Np,I-Skill
12,Data Studio,Np,I-Skill
12,",",CH,O
12,..,N,O
12,),CH,O
13,Sử dụng,V,B-Skill
13,thành thạo,N,I-Skill
13,Excel,Np,I-Skill
13,(,CH,I-Skill
13,Power query,N,I-Skill
13,",",CH,I-Skill
13,Power pivot,N,I-Skill
13,",",CH,I-Skill
13,Pivot table,N,I-Skill
13,",",CH,O
13,…,CH,O
13,),CH,O
13,",",CH,O
13,Power BI,Np,B-Skill
13,\ xa0,V,O
13,\ xa0,N,O
13,\ xa0,N,O
13,\ xa0,N,O
13,(,CH,O
13,DAX,Np,B-Skill
13,",",CH,O
13,visualization,N,B-Skill
13,),CH,O
14,Có,V,O
14,khả năng,N,B-Skill
14,sử dụng,V,I-Skill
14,SQL,Np,I-Skill
14,",",CH,I-Skill
14,Python,Np,I-Skill
14,",",CH,I-Skill
14,Google Data,Np,I-Skill
14,Studio,Np,I-Skill
15,Sử dụng,V,B-Skill
15,các,L,I-Skill
