sentence_id,word,pos,tag
sentence_0,Proven,NNP,O
sentence_0,ability,NN,O
sentence_0,to,TO,O
sentence_0,influence,VB,B-Skill
sentence_0,cross,JJ,I-Skill
sentence_0,functional,JJ,I-Skill
sentence_0,teams,NNS,I-Skill
sentence_0,and,CC,I-Skill
sentence_0,suppliers,NNS,I-Skill
sentence_0,.,.,O
sentence_1,Accepting,VBG,B-Skill
sentence_1,assigned,JJ,I-Skill
sentence_1,projects,NNS,I-Skill
sentence_1,as,IN,O
sentence_1,required,JJ,O
sentence_1,and,CC,O
sentence_1,work,NN,B-Skill
sentence_1,with,IN,I-Skill
sentence_1,other,JJ,I-Skill
sentence_1,divisions,NNS,I-Skill
sentence_1,to,TO,O
sentence_1,ensure,VB,O
sentence_1,their,PRP$,O
sentence_1,delivery,NN,O
sentence_1,.,.,O
sentence_2,Your,PRP$,O
sentence_2,key,JJ,O
sentence_2,responsibilities,NNS,O
sentence_2,will,MD,O
sentence_2,include,VB,O
sentence_2,managing,VBG,B-Skill
sentence_2,all,DT,I-Skill
sentence_2,aspects,NNS,I-Skill
sentence_2,of,IN,I-Skill
sentence_2,the,DT,I-Skill
sentence_2,kitchen,NN,I-Skill
sentence_2,during,IN,O
sentence_2,service,NN,O
sentence_2,;,:,O
sentence_2,taking,VBG,B-Skill
sentence_2,responsibility,NN,I-Skill
sentence_2,of,IN,I-Skill
sentence_2,the,DT,I-Skill
sentence_2,kitchen,NN,I-Skill
sentence_2,in,IN,O
sentence_2,the,DT,O
sentence_2,absence,NN,O
sentence_2,of,IN,O
sentence_2,the,DT,O
sentence_2,senior,JJ,O
sentence_2,chefs,NNS,O
sentence_2,;,:,O
sentence_2,ensuring,VBG,B-Skill
sentence_2,high,JJ,I-Skill
sentence_2,levels,NNS,I-Skill
sentence_2,of,IN,I-Skill
sentence_2,food,NN,I-Skill
sentence_2,quality,NN,I-Skill
sentence_2,are,VBP,O
sentence_2,attained,VBN,O
sentence_2,;,:,O
sentence_2,training,NN,B-Skill
sentence_2,and,CC,I-Skill
sentence_2,developing,VBG,I-Skill
sentence_2,new,JJ,I-Skill
sentence_2,members,NNS,I-Skill
sentence_2,of,IN,O
sentence_2,the,DT,O
sentence_2,brigade,NN,O
sentence_2,;,:,O
sentence_2,ensuring,VBG,B-Skill
sentence_2,health,NN,I-Skill
sentence_2,re,NN,O
sentence_2,looking,VBG,O
sentence_2,for,IN,O
sentence_2,:,:,O
sentence_2,The,DT,O
sentence_2,successful,JJ,O
sentence_2,candidate,NN,O
sentence_2,is,VBZ,O
sentence_2,likely,JJ,O
sentence_2,to,TO,O
sentence_2,come,VB,O
sentence_2,from,IN,O
sentence_2,either,CC,O
sentence_2,a,DT,O
sentence_2,branded,JJ,O
sentence_2,four,CD,B-Skill
sentence_2,or,CC,I-Skill
sentence_2,five,CD,I-Skill
sentence_2,star,JJ,I-Skill
sentence_2,hotel,NN,I-Skill
sentence_2,background,NN,O
sentence_2,",",",",O
sentence_2,or,CC,O
sentence_2,work,NN,O
sentence_2,in,IN,O
sentence_2,a,DT,O
sentence_2,quality,NN,O
sentence_2,restaurant,NN,O
sentence_2,renowned,VBD,O
sentence_2,for,IN,O
sentence_2,serving,VBG,B-Skill
sentence_2,high,JJ,I-Skill
sentence_2,quality,NN,I-Skill
sentence_2,food,NN,I-Skill
sentence_2,.,.,O
sentence_3,Analysis,NN,B-Skill
sentence_3,of,IN,I-Skill
sentence_3,the,DT,I-Skill
sentence_3,underlying,JJ,I-Skill
sentence_3,real,JJ,I-Skill
sentence_3,estate,NN,I-Skill
sentence_3,through,IN,I-Skill
sentence_3,to,TO,I-Skill
sentence_3,a,DT,I-Skill
sentence_3,net,JJ,I-Skill
sentence_3,investor,NN,I-Skill
sentence_3,position,NN,I-Skill
sentence_3,",",",",O
sentence_3,including,VBG,O
sentence_3,relevant,JJ,O
sentence_3,debt,NN,B-Skill
sentence_3,",",",",I-Skill
sentence_3,tax,NN,I-Skill
sentence_3,and,CC,I-Skill
sentence_3,fund,NN,I-Skill
sentence_3,flows,NNS,I-Skill
sentence_3,",",",",O
sentence_3,on,IN,O
sentence_3,a,DT,O
sentence_3,historic,JJ,B-Skill
sentence_3,and,CC,I-Skill
sentence_3,forecast,JJ,I-Skill
sentence_3,basis,NN,I-Skill
sentence_3,",",",",O
sentence_3,and,CC,O
sentence_3,developing,VBG,B-Skill
sentence_3,and,CC,I-Skill
sentence_3,maintaining,VBG,I-Skill
sentence_3,cash,NN,I-Skill
sentence_3,flow,NN,I-Skill
sentence_3,forecasts,NNS,I-Skill
sentence_3,for,IN,O
sentence_3,this,DT,O
sentence_3,.,.,O
sentence_4,You,PRP,O
