sentence_id,word,pos,tag
sentence_0,Tốt nghiệp,V,O
sentence_0,Đại học,N,O
sentence_0,trở,V,O
sentence_0,lên,V,O
sentence_0,chuyên ngành,N,B-Skill
sentence_0,về,E,I-Skill
sentence_0,Ngân hàng,N,I-Skill
sentence_0,",",CH,I-Skill
sentence_0,Tài chính,N,I-Skill
sentence_0,",",CH,I-Skill
sentence_0,Kinh tế,N,I-Skill
sentence_0,",",CH,I-Skill
sentence_0,Luật,Np,I-Skill
sentence_0,hoặc,C,O
sentence_0,chuyên ngành,N,O
sentence_0,có,R,O
sentence_0,liên quan,V,O
sentence_0,công tác,N,B-Skill
sentence_0,xử lý,V,I-Skill
sentence_0,nợ,N,I-Skill
sentence_0,.,CH,O
sentence_1,BAC,Np,O
sentence_1,A BANK,Np,O
sentence_1,chỉ,R,O
sentence_1,thu,V,O
sentence_1,hồ sơ,N,O
sentence_1,qua,V,O
sentence_1,email,FW,O
sentence_1,không,R,O
sentence_1,thu,V,O
sentence_1,hồ sơ,N,O
sentence_1,bản,N,O
sentence_1,cứng,A,O
sentence_2,Các,L,O
sentence_2,chế độ,N,O
sentence_2,phúc lợi,V,O
sentence_2,xã hội,N,O
sentence_2,theo,V,O
sentence_2,quy định,N,O
sentence_2,pháp luật,N,O
sentence_2,như,C,O
sentence_2,:,CH,O
sentence_2,BHYT,Np,O
sentence_2,",",CH,O
sentence_2,BHXH,Np,O
sentence_2,",",CH,O
sentence_2,BHTN.,Np,O
sentence_2,...,CH,O
sentence_3,Trình độ,N,O
sentence_3,:,CH,O
sentence_3,Đại Học,Np,O
sentence_4,Chế độ,N,O
sentence_4,du lịch,V,O
sentence_4,nghỉ mát,V,O
sentence_4,hàng,N,O
sentence_4,năm,N,O
sentence_4,",",CH,O
sentence_4,tổ chức,V,O
sentence_4,teambuilding,V,O
sentence_4,sôi nổi,A,O
sentence_4,.,CH,O
sentence_5,Có,V,O
sentence_5,khả năng,N,B-Skill
sentence_5,lập,V,I-Skill
sentence_5,kế hoạch,N,I-Skill
sentence_5,",",CH,I-Skill
sentence_5,chiến lược,N,I-Skill
sentence_5,và,C,I-Skill
sentence_5,điều phối,V,I-Skill
sentence_5,thực hiện,V,I-Skill
sentence_5,kế hoạch,N,I-Skill
sentence_5,hiệu quả,M,O
sentence_6,Hiểu biết,N,O
sentence_6,cơ bản,A,B-Skill
sentence_6,về,E,I-Skill
sentence_6,Marketing,Np,I-Skill
sentence_6,là,V,O
sentence_6,một,M,O
sentence_6,lợi thế,N,O
