sentence_id,word,pos,tag
sentence_0,Nam,Np,O
sentence_0,",",CH,O
sentence_0,tuổi,N,O
sentence_0,từ,E,O
sentence_0,24-32,M,O
sentence_1,Tốt nghiệp,V,O
sentence_1,ĐH,Ny,O
sentence_1,chuyên ngành,N,B-Skill
sentence_1,:,CH,I-Skill
sentence_1,Môi trường,N,I-Skill
sentence_1,",",CH,I-Skill
sentence_1,An Toàn Lao Động,Np,I-Skill
sentence_1,",",CH,O
sentence_1,...,CH,O
sentence_2,Am,Np,B-Skill
sentence_2,hiểu,V,I-Skill
sentence_2,về,E,I-Skill
sentence_2,luật PCCC,N,I-Skill
sentence_2,và,C,I-Skill
sentence_2,ATLĐ,Np,I-Skill
sentence_2,(,CH,O
sentence_2,Đã,R,O
sentence_2,qua,V,B-Skill
sentence_2,lớp,N,I-Skill
sentence_2,tập huấn,N,I-Skill
sentence_2,),CH,O
sentence_3,Có,V,O
sentence_3,kinh nghiệm,N,B-Skill
sentence_3,làm việc,V,I-Skill
sentence_3,về,E,I-Skill
sentence_3,ATLĐ,Np,I-Skill
sentence_3,và,C,I-Skill
sentence_3,xử lý,V,I-Skill
sentence_3,các,L,I-Skill
sentence_3,vấn đề,N,I-Skill
sentence_3,liên quan,V,I-Skill
sentence_3,đến,E,I-Skill
sentence_3,môi trường,N,I-Skill
sentence_3,",",CH,I-Skill
sentence_3,nước thải,N,I-Skill
sentence_3,sản xuất,V,I-Skill
sentence_4,Có,V,O
sentence_4,kinh nghiệm,N,B-Skill
sentence_4,xử lý,V,I-Skill
sentence_4,hồ sơ,N,I-Skill
sentence_4,cùng,A,I-Skill
sentence_4,cơ quan,N,I-Skill
sentence_4,Nhà nước,N,I-Skill
sentence_5,Có thể,R,O
sentence_5,đi,V,O
sentence_5,công tác,V,O
sentence_5,thường xuyên,A,O
sentence_6,Kinh nghiệm,N,O
sentence_6,2,N,O
sentence_6,năm,N,O
sentence_6,vị trí,N,O
sentence_6,tương đương,A,O
sentence_6,trong,E,O
sentence_6,môi trường,N,O
sentence_6,nhà máy,N,O
sentence_6,.,CH,O
sentence_7,Ưu tiên,N,O
