sentence_ID,word,pos
0,Nam,Np
0,",",CH
0,tuổi,N
0,từ,E
0,24-32,M
1,Tốt nghiệp,V
1,ĐH,Ny
1,chuyên ngành,N
1,:,CH
1,Môi trường,N
1,",",CH
1,An Toàn Lao Động,Np
1,",",CH
1,...,CH
2,Am,Np
2,hiểu,V
2,về,E
2,luật PCCC,N
2,và,C
2,ATLĐ,Np
2,(,CH
2,Đã,R
2,qua,V
2,lớp,N
2,tập huấn,N
2,),CH
3,Có,V
3,kinh nghiệm,N
3,làm việc,V
3,về,E
3,ATLĐ,Np
3,và,C
3,xử lý,V
3,các,L
3,vấn đề,N
3,liên quan,V
3,đến,E
3,môi trường,N
3,",",CH
3,nước thải,N
3,sản xuất,V
4,Có,V
4,kinh nghiệm,N
4,xử lý,V
4,hồ sơ,N
4,cùng,A
4,cơ quan,N
4,Nhà nước,N
5,Có thể,R
5,đi,V
5,công tác,V
5,thường xuyên,A
6,Kinh nghiệm,N
6,02,N
6,năm,N
6,vị trí,N
6,tương đương,A
6,trong,E
6,môi trường,N
6,nhà máy,N
6,.,CH
7,Ưu tiên,N
7,ứng viên,V
7,có,V
7,HKTT,Np
7,tại,E
7,Xuân Lộc,Np
7,",",CH
7,Cẩm Mỹ,Np
7,hoặc,C
7,có thể,R
7,ở,V
7,trọ,V
7,tại,E
7,địa phương,N
7,để,E
7,làm việc,V
7,lâu dài,A
7,.,CH
8,Kiến thức,N
8,về,V
8,quản trị,V
8,dữ liệu,N
9,Kiến thức,N
9,về,E
9,mô hình,N
9,hóa,N
9,dữ liệu,M
10,Tiếng,N
10,anh,Nc
10,:,CH
10,\,V
10,xa0đọc,N
10,hiểu,V
10,tài liệu,N
10,",",CH
10,kỹ năng,N
10,giao tiếp,V
10,cơ bản,A
11,Sử dụng,V
11,thành thạo,N
11,Excel,Np
11,",",CH
11,Power query,N
11,Excel,Np
11,",",CH
11,DAX,Np
12,Sử dụng,V
12,thành thạo,N
12,1,M
12,trong,E
12,các,L
12,công cụ,N
12,trực quan,V
12,hóa,N
12,dữ liệu,N
12,(,CH
12,Power BI,Np
12,",",CH
12,Google,Np
12,Data Studio,Np
12,",",CH
12,..,N
12,),CH
13,Sử dụng,V
13,thành thạo,N
13,Excel,Np
13,(,CH
13,Power query,N
13,",",CH
13,Power pivot,N
13,",",CH
13,Pivot table,N
13,",",CH
13,…,CH
13,),CH
13,",",CH
13,Power BI,Np
13,\ xa0,V
13,\ xa0,N
13,\ xa0,N
13,\ xa0,N
13,(,CH
13,DAX,Np
13,",",CH
13,visualization,N
13,),CH
14,Có,V
14,khả năng,N
14,sử dụng,V
14,SQL,Np
14,",",CH
14,Python,Np
14,",",CH
14,Google Data,Np
14,Studio,Np
15,Sử dụng,V
15,các,L
15,kiến thức,N
15,toán,N
15,thống kê,V
15,",",CH
15,xác suất,N
15,ứng dụng,V
15,vào,E
15,công việc,N
16,Kỹ năng,N
16,phân tích,V
16,",",CH
16,linh hoạt,N
16,áp dụng,V
16,các,L
16,phần mềm,N
16,hỗ trợ,V
16,cho,E
16,công việc,N
17,Khả năng,N
17,tự,P
17,nghiên cứu,V
17,ứng dụng,N
17,công nghệ,N
17,vào,E
17,công việc,N
18,Có,V
18,ít nhất,X
18,\ xa02,M
18,năm,N
18,trở,V
18,lên,V
19,Tốt nghiệp,V
19,Đại học,N
19,",",CH
19,Cao đằng,V
19,các,L
19,chuyên ngành,N
19,:,CH
19,Tài chính,N
19,-,CH
